index,lat,lon,ele,x,y,segment_length,dist_to_start
194,45.624480,9.289530,187.315399,652.308101,635.287041,51.409356,910.546805
195,45.625010,9.288910,186.987259,604.034617,694.286641,76.231766,920.267221
196,45.625240,9.288510,186.589203,572.890433,719.890241,40.317546,920.024678
197,45.625580,9.287580,185.707901,500.480206,757.739041,81.705401,908.101807
198,45.625760,9.286470,185.167007,414.055097,777.776641,88.717557,881.123219
199,45.625710,9.285340,185.137909,326.072778,772.210641,88.158203,838.231908
200,45.625480,9.284360,185.318756,249.769528,746.607041,80.484348,787.278154
201,45.625100,9.283500,185.280609,182.809534,704.305441,79.202691,727.643787
202,45.625060,9.283430,185.250305,177.359302,699.852641,7.037930,721.976482
203,45.624720,9.282950,185.375885,139.986281,662.003841,53.190923,676.642627
204,45.623950,9.282310,185.119766,90.155588,576.287441,99.148370,583.296875
205,45.622950,9.281900,184.654648,58.232799,464.967441,115.806765,468.599808
206,45.621420,9.281730,183.852859,44.996521,294.647841,170.833150,298.063814
207,45.621410,9.282270,184.829941,87.041169,293.534641,42.059382,306.167847
208,45.621310,9.282460,184.985367,101.834656,282.402641,18.514013,300.202513
209,45.620640,9.283220,184.715027,161.008605,207.818241,95.207085,262.891978
210,45.620520,9.284270,183.707382,242.762087,194.459841,82.837664,311.043503
211,45.620500,9.284410,183.360458,253.662551,192.233441,11.125510,318.274074
212,45.620390,9.284600,183.015060,268.456039,179.988241,19.203963,323.209548
213,45.620070,9.284670,182.593094,273.906271,144.365841,36.036931,309.622579
214,45.619180,9.284690,182.336624,275.463480,45.291041,99.087037,279.161973
215,45.617170,9.284390,181.818695,252.105342,-178.462159,224.969103,308.878367
216,45.616120,9.284210,181.531784,238.090460,-295.348159,117.723209,379.364735
217,45.612490,9.283700,180.892853,198.381626,-699.439759,406.037945,727.029054
218,45.612220,9.283570,180.242157,188.259766,-729.496159,31.714968,753.396566
219,45.612020,9.283290,179.697235,166.458837,-751.760159,31.160330,769.968753
220,45.611880,9.282850,179.695572,132.200235,-767.344959,37.636921,778.649593
221,45.611940,9.282160,179.633987,78.476519,-760.665759,54.137320,764.703185
222,45.612200,9.281580,179.723221,33.317453,-731.722559,53.638140,732.480686
223,45.612590,9.281120,180.379028,-2.498359,-688.307759,56.281588,688.312293
224,45.612700,9.281050,180.745132,-7.948591,-676.062559,13.403356,676.109284
225,45.613120,9.280840,180.792664,-24.299287,-629.308159,49.530992,629.777115
226,45.613610,9.280740,181.345474,-32.085333,-574.761359,55.099691,575.656224
227,45.614650,9.280710,181.585617,-34.421147,-458.988559,115.796361,460.277430
228,45.614740,9.280810,182.335556,-26.635101,-448.969759,12.688533,449.759128
229,45.616730,9.281060,182.770355,-7.169986,-227.442959,222.380336,227.555945
